date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:07:27	119847/119847	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2023:15:09%20GMT	https://tnsolutions.ca/	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/index.html	(from )
18:07:27	0/0	---M--	200	added ('OK')	text/plain	date:Thu,%2003%20Aug%202023%2022:07:28%20GMT	https://tnsolutions.ca/robots.txt		(from )
18:07:27	83/83	---M--	409	error ('Conflict')	text/html	date:Thu,%2003%20Aug%202023%2022:07:29%20GMT	https://tnsolutions.ca/xmlrpc.php	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/xmlrpc.php	(from https://tnsolutions.ca/)
18:07:27	817581/817581	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Jun%202023%2023:15:09%20GMT	https://tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/cache/min/1/7de9169436c57713a0c9a2bd0b54a6f2.css	(from https://tnsolutions.ca/)
18:07:27	89815/89815	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2012%20Apr%202023%2001:39:22%20GMT	https://tnsolutions.ca/wp-includes/js/jquery/jquery.min.js?ver=3.6.4	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-includes/js/jquery/jquery.min5aed.js	(from https://tnsolutions.ca/)
18:07:28	13424/13424	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2012%20Apr%202023%2001:39:22%20GMT	https://tnsolutions.ca/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.0	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-includes/js/jquery/jquery-migrate.min6b00.js	(from https://tnsolutions.ca/)
18:07:28	7529/7529	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2008%20Mar%202023%2007:37:17%20GMT	https://tnsolutions.ca/wp-content/plugins/sticky-menu-or-anything-on-scroll/assets/js/jq-sticky-anything.min.js?ver=2.1.1	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/sticky-menu-or-anything-on-scroll/assets/js/jq-sticky-anything.mine1fc.js	(from https://tnsolutions.ca/)
18:07:28	15055/15055	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2021%20Mar%202023%2016:44:42%20GMT	https://tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.11.5	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.mina3be.js	(from https://tnsolutions.ca/)
18:07:33	1621/1621	---M--	200	added ('OK')	application/rss+xml	etag:%2205f103467669ffcdb088764b36f82c75%22	https://tnsolutions.ca/feed/	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/feed/index.html	(from https://tnsolutions.ca/)
18:07:33	1623/1623	---M--	200	added ('OK')	application/rss+xml	etag:%2205f103467669ffcdb088764b36f82c75%22	https://tnsolutions.ca/comments/feed/	C:/Users/USER/Desktop/tnsolutions.ca/tnsolutions.ca/tnsolutions.ca/comments/feed/index.html	(from https://tnsolutions.ca/)
